,#,Jugadores,Min,Pts,TC,2 Pts,3 Pts,TL,REBO,REBD,REB,AST,FP,TO,ROB,BLQ,+/-,EFF,TCc,TCi,2Pc,2Pi,3Pc,3Pi,TLc,TLi,game,Res,PTS_OPP,TCi_OPP,TCc_OPP,2Pi_OPP,2Pc_OPP,3Pi_OPP,3Pc_OPP,TLi_OPP,TLc_OPP,RO_OPP,RD_OPP,AST_OPP,TO_OPP,ROB_OPP,FP_OPP
13,Totales,Venezuela,200,59.0,25/67  37.3%,19/42  45.2%,6/25  24%,3/7  42.9%,13.0,21.0,34.0,17.0,18.0,11.0,3.0,2.0,-11,56,25.0,67.0,19.0,42.0,6.0,25.0,3.0,7.0,/es/basketballworldcup/2023/game/3008/Georgia-Venezuela,0.0,70.0,57.0,25.0,34.0,20.0,23.0,5.0,21.0,15.0,10.0,30.0,15.0,12.0,5.0,14.0
13,Totales,USA,200,110.0,39/80  48.8%,29/51  56.9%,10/29  34.5%,22/28  78.6%,17,39,56,29.0,12,15,13.0,6.0,48.0,148.0,39.0,80.0,29.0,51.0,10.0,29.0,22.0,28.0,/es/basketballworldcup/2023/game/3008/USA-Jordan,1.0,62.0,66.0,22.0,45.0,17.0,21.0,5.0,17.0,13.0,7.0,27.0,15.0,23.0,11.0,21.0
13,Totales,Jordania,200,62.0,22/66  33.3%,17/45  37.8%,5/21  23.8%,13/17  76.5%,7.0,27.0,34.0,15.0,21.0,23.0,11.0,2.0,-48,53,22.0,66.0,17.0,45.0,5.0,21.0,13.0,17.0,/es/basketballworldcup/2023/game/3008/USA-Jordan,0.0,110.0,80.0,39.0,51.0,29.0,29.0,10.0,28.0,22.0,17.0,39.0,29.0,15.0,13.0,12.0
13,Totales,Costa de Marfil,200,77.0,24/65  36.9%,17/42  40.5%,7/23  30.4%,22/25  88%,13.0,22.0,35.0,14.0,21.0,12.0,9.0,4.0,-12,79,24.0,65.0,17.0,42.0,7.0,23.0,22.0,25.0,/es/basketballworldcup/2023/game/3008/Cote-d-Ivoire-Brazil,0.0,89.0,62.0,26.0,30.0,12.0,32.0,14.0,25.0,23.0,14.0,29.0,27.0,13.0,5.0,24.0
13,Totales,Brasil,200,89.0,26/62  41.9%,12/30  40%,14/32  43.8%,23/25  92%,14.0,29.0,43.0,27.0,24.0,13.0,5.0,3.0,12,113,26.0,62.0,12.0,30.0,14.0,32.0,23.0,25.0,/es/basketballworldcup/2023/game/3008/Cote-d-Ivoire-Brazil,1.0,77.0,65.0,24.0,42.0,17.0,23.0,7.0,25.0,22.0,13.0,22.0,14.0,12.0,9.0,21.0
13,Totales,Eslovenia,200,92.0,29/67  43.3%,18/32  56.2%,11/35  31.4%,23/30  76.7%,14.0,25.0,39.0,24.0,20.0,10.0,10.0,0.0,15,107,29.0,67.0,18.0,32.0,11.0,35.0,23.0,30.0,/es/basketballworldcup/2023/game/3008/Slovenia-Cape-Verde,1.0,77.0,65.0,31.0,41.0,24.0,24.0,7.0,9.0,8.0,9.0,23.0,21.0,19.0,4.0,26.0
13,Totales,Cabo Verde,200,77.0,31/65  47.7%,24/41  58.5%,7/24  29.2%,8/9  88.9%,9.0,23.0,32.0,21.0,26.0,19.0,4.0,1.0,-15,79,31.0,65.0,24.0,41.0,7.0,24.0,8.0,9.0,/es/basketballworldcup/2023/game/3008/Slovenia-Cape-Verde,0.0,92.0,67.0,29.0,32.0,18.0,35.0,11.0,30.0,23.0,14.0,25.0,24.0,10.0,10.0,20.0
13,Totales,China,200,89.0,32/65  49.2%,22/37  59.5%,10/28  35.7%,15/22  68.2%,7,23,30,20.0,25,13,3.0,4.0,-18.0,87.0,32.0,65.0,22.0,37.0,10.0,28.0,15.0,22.0,/es/basketballworldcup/2023/game/3008/China-Puerto-Rico,0.0,107.0,71.0,38.0,37.0,22.0,34.0,16.0,24.0,15.0,13.0,29.0,22.0,12.0,7.0,17.0
13,Totales,Puerto Rico,200,107.0,38/71  53.5%,22/37  59.5%,16/34  47.1%,15/24  62.5%,13,29,42,22.0,17,12,7.0,2.0,18.0,125.0,38.0,71.0,22.0,37.0,16.0,34.0,15.0,24.0,/es/basketballworldcup/2023/game/3008/China-Puerto-Rico,1.0,89.0,65.0,32.0,37.0,22.0,28.0,10.0,22.0,15.0,7.0,23.0,20.0,13.0,3.0,25.0
13,Totales,Grecia,200,83.0,28/70  40%,17/38  44.7%,11/32  34.4%,16/20  80%,14.0,20.0,34.0,19.0,24.0,6.0,10.0,3.0,9,95,28.0,70.0,17.0,38.0,11.0,32.0,16.0,20.0,/es/basketballworldcup/2023/game/3008/Greece-New-Zealand,1.0,74.0,51.0,22.0,26.0,11.0,25.0,11.0,24.0,19.0,13.0,29.0,17.0,21.0,3.0,24.0
