,id,Equipo,Quinteto,PTS,FGm,FGa,2Pm,2Pa,3Pm,3Pa,1Pm,1Pa,RO,RD,RT,AST,PER,REC,BLQ,POSS,PLAYS,PJ
0,/es/basketballworldcup/2023/game/2608/Cape-Verde-Georgia,Cabo Verde,"['Patrick Lima', 'Ivan Almeida', 'Will Tavares', 'Betinho Gomes', 'Edy Tavares']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2608/Cape-Verde-Georgia,Georgia,"['Rati Andronikashvili', 'Giorgi Shermadini', 'Duda Sanadze', 'Tornike Shengelia', 'Thaddus McFadden']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2608/Jordan-Greece,Jordania,"['Freddy Ibrahim', 'Sami Bzai', 'Zaid Abbas', 'Rondae Hollis Jefferson', 'Ahmad Dwairi']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2608/Jordan-Greece,Grecia,"['Thomas Walkup', 'Michail Lountzis', 'Georgios Papagiannis', 'Kostas Papanikolaou', 'Thanasis Antetokounmpo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2608/Iran-Brazil,Irán,"['Behnam Yakhchali', 'Piter Girgoorian', 'Arsalan Kazemi', 'Matin Aghajanpour', 'Hasan Aliakbari']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2608/Iran-Brazil,Brasil,"['Yago Santos', 'Tim Soares', 'Leonardo Meindl', 'Raul Neto Togni', 'Bruno Caboclo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2608/Slovenia-Venezuela,Eslovenia,"['Aleksej Nikolic', 'Mike Tobey', 'Zoran Dragic', 'Bine Prepelic', 'Luka Doncic']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2608/Slovenia-Venezuela,Venezuela,"['Gregory Vargas', 'Garly Sojo', 'Pedro Chourio', 'Michael Carrera', 'Nestor Colmenares']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2608/Serbia-China,Serbia,"['Nikola Jovic', 'Bogdan Bogdanovic', 'Ognjen Dobric', 'Stefan Jovic', 'Nikola Milutinov']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,/es/basketballworldcup/2023/game/2608/Serbia-China,China,"['Kaier Li', 'Rui Zhao', 'Peng Zhou', 'Qi Zhou', 'Zhenlin Zhang']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,/es/basketballworldcup/2023/game/2608/USA-New-Zealand,USA,"['Mikal Bridges', 'Brandon Ingram', 'Anthony Edwards', 'Jalen Brunson', 'Jaren Jackson Jr']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
